Day,Time,Timestamp,Count 1204,Count 0412,Count 0221,Count 0212,Count 0222,,1204,round,0412,round,0221,round,0212,round,0222,round
2019-08-13,07:00,2019-08-13 07:00,0,0,0,0,0,,2019-08-13 07:47,2019-08-13 07:30,2019-08-13 17:24,2019-08-13 17:00,2019-08-14 15:03,2019-08-14 15:00,2019-08-13 16:17,2019-08-13 16:00,2019-08-15 11:39,2019-08-15 11:30
2019-08-13,07:30,2019-08-13 07:30,1,0,0,0,0,,2019-08-13 09:00,2019-08-13 09:00,2019-08-14 16:35,2019-08-14 16:30,2019-08-16 13:16,2019-08-16 13:00,2019-08-14 11:58,2019-08-14 11:30,2019-08-15 18:40,2019-08-15 18:30
2019-08-13,08:00,2019-08-13 08:00,0,0,0,0,0,,2019-08-13 10:55,2019-08-13 10:30,2019-08-15 15:38,2019-08-15 15:30,2019-08-16 16:05,2019-08-16 16:00,2019-08-14 12:31,2019-08-14 12:30,2019-08-16 16:05,2019-08-16 16:00
2019-08-13,08:30,2019-08-13 08:30,0,0,0,0,0,,2019-08-14 07:53,2019-08-14 07:30,2019-08-15 19:19,2019-08-15 19:00,2019-08-19 08:33,2019-08-19 08:30,2019-08-14 16:00,2019-08-14 16:00,2019-08-16 17:32,2019-08-16 17:30
2019-08-13,09:00,2019-08-13 09:00,1,0,0,0,0,,2019-08-14 08:59,2019-08-14 08:30,2019-08-16 15:09,2019-08-16 15:00,2019-08-19 15:31,2019-08-19 15:30,2019-08-14 17:02,2019-08-14 17:00,2019-08-19 15:23,2019-08-19 15:00
2019-08-13,09:30,2019-08-13 09:30,0,0,0,0,0,,2019-08-14 09:33,2019-08-14 09:30,2019-08-19 18:26,2019-08-19 18:00,2019-08-19 16:15,2019-08-19 16:00,2019-08-15 08:56,2019-08-15 08:30,2019-08-19 15:23,2019-08-19 15:00
2019-08-13,10:00,2019-08-13 10:00,0,0,0,0,0,,2019-08-14 12:10,2019-08-14 12:00,2019-08-20 08:53,2019-08-20 08:30,2019-08-20 07:50,2019-08-20 07:30,2019-08-15 13:57,2019-08-15 13:30,2019-08-19 15:46,2019-08-19 15:30
2019-08-13,10:30,2019-08-13 10:30,1,0,0,0,0,,2019-08-15 09:19,2019-08-15 09:00,2019-08-20 14:29,2019-08-20 14:00,2019-08-20 17:20,2019-08-20 17:00,2019-08-15 14:56,2019-08-15 14:30,2019-08-19 15:50,2019-08-19 15:30
2019-08-13,11:00,2019-08-13 11:00,0,0,0,0,0,,2019-08-15 14:09,2019-08-15 14:00,2019-08-20 15:58,2019-08-20 15:30,2019-08-21 08:51,2019-08-21 08:30,2019-08-15 14:56,2019-08-15 14:30,2019-08-19 16:08,2019-08-19 16:00
2019-08-13,11:30,2019-08-13 11:30,0,0,0,0,0,,2019-08-15 16:36,2019-08-15 16:30,2019-08-20 16:45,2019-08-20 16:30,2019-08-22 08:28,2019-08-22 08:00,2019-08-15 20:18,2019-08-15 20:00,2019-08-19 17:41,2019-08-19 17:30
