date,time,timestamp,date_of_week,hour,quarter_of_year,month,day_of_year,day_of_month,week_of_year,is_lunch_break,is_class_time,is_weekday,is_Thai_holiday,is_exam_period,academic_calendar,weather_condition,temperature,humidity,wind_speed,pressure,count_1204,count_0412,count_1211
2019-01-01,07:00,2019-01-01 07:00,3,7,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,21,0.73,6,30.05,0,0,0
2019-01-01,08:00,2019-01-01 08:00,3,8,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,21,0.73,8,30.08,0,0,0
2019-01-01,09:00,2019-01-01 09:00,3,9,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,23,0.69,7,30.08,0,0,0
2019-01-01,10:00,2019-01-01 10:00,3,10,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,24,0.65,6,30.08,0,0,0
2019-01-01,11:00,2019-01-01 11:00,3,11,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,26,0.57,0,30.08,0,0,0
2019-01-01,12:00,2019-01-01 12:00,3,12,1,1,1,1,1,YES,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,27,0.58,8,30.02,0,0,0
2019-01-01,13:00,2019-01-01 13:00,3,13,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,28,0.54,9,29.99,0,0,0
2019-01-01,14:00,2019-01-01 14:00,3,14,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,28,0.51,12,29.96,0,0,0
2019-01-01,15:00,2019-01-01 15:00,3,15,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,29,0.51,9,29.93,0,0,0
2019-01-01,16:00,2019-01-01 16:00,3,16,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,29,0.51,12,29.93,0,0,0
2019-01-01,17:00,2019-01-01 17:00,3,17,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,28,0.51,10,29.93,0,0,0
