Date,Time,Timestamp,Day of week,Hour,Quarter,Month,Day of year,Day of month,Week of year,Temperature,Weather Condition,Humidity,Wind Speed,Pressure,is_lunch_break,is_class_time,1204,412,1203,421,422
2019-01-07,7:00,2019-01-07 07:00,1,7,1,1,7,7,2,25,Fair,0.89,3.00,29.90,NO,NO,0,0,1,0,0
2019-01-07,8:00,2019-01-07 08:00,1,8,1,1,7,7,2,25,Fair,0.83,5.00,29.93,NO,NO,2,0,0,1,0
2019-01-07,9:00,2019-01-07 09:00,1,9,1,1,7,7,2,26,Fair,0.83,5.00,29.93,NO,YES,0,1,0,0,0
2019-01-07,10:00,2019-01-07 10:00,1,10,1,1,7,7,2,28,Fair,0.79,7.00,29.96,NO,YES,0,0,0,0,0
2019-01-07,11:00,2019-01-07 11:00,1,11,1,1,7,7,2,30,Fair,0.70,12.00,29.93,NO,YES,1,0,0,0,0
2019-01-07,12:00,2019-01-07 12:00,1,12,1,1,7,7,2,31,Fair,0.66,10.00,29.90,YES,NO,1,2,1,0,0
2019-01-07,13:00,2019-01-07 13:00,1,13,1,1,7,7,2,31,Fair,0.66,8.00,29.87,NO,YES,1,0,0,0,0
2019-01-07,14:00,2019-01-07 14:00,1,14,1,1,7,7,2,32,Fair,0.62,9.00,29.84,NO,YES,0,1,0,0,0
2019-01-07,15:00,2019-01-07 15:00,1,15,1,1,7,7,2,32,Fair,0.62,9.00,29.81,NO,YES,0,0,0,1,0
2019-01-07,16:00,2019-01-07 16:00,1,16,1,1,7,7,2,32,Fair,0.62,7.00,29.81,NO,NO,0,0,0,0,0
2019-01-07,17:00,2019-01-07 17:00,1,17,1,1,7,7,2,32,Fair,0.59,8.00,29.81,NO,NO,0,0,0,0,0
2019-01-07,18:00,2019-01-07 18:00,1,18,1,1,7,7,2,31,Fair,0.62,5.00,29.84,NO,NO,0,0,0,0,0
2019-01-07,19:00,2019-01-07 19:00,1,19,1,1,7,7,2,30,Fair,0.70,2.00,29.87,NO,NO,0,0,0,0,0
2019-01-07,20:00,2019-01-07 20:00,1,20,1,1,7,7,2,30,Fair,0.66,0.00,29.87,NO,NO,0,0,0,0,0
2019-01-08,7:00,2019-01-08 07:00,2,7,1,1,8,8,2,25,Fair,0.89,3.00,29.90,NO,NO,0,0,0,0,0
2019-01-08,8:00,2019-01-08 08:00,2,8,1,1,8,8,2,25,Fair,0.83,5.00,29.93,NO,NO,1,0,1,0,0
2019-01-08,9:00,2019-01-08 09:00,2,9,1,1,8,8,2,26,Fair,0.83,5.00,29.93,NO,YES,2,0,1,0,0
2019-01-08,10:00,2019-01-08 10:00,2,10,1,1,8,8,2,28,Fair,0.79,7.00,29.96,NO,YES,0,0,0,0,0
2019-01-08,11:00,2019-01-08 11:00,2,11,1,1,8,8,2,30,Fair,0.70,12.00,29.93,NO,YES,0,0,0,1,1
2019-01-08,12:00,2019-01-08 12:00,2,12,1,1,8,8,2,31,Fair,0.66,10.00,29.90,YES,NO,0,0,0,0,0
2019-01-08,13:00,2019-01-08 13:00,2,13,1,1,8,8,2,31,Fair,0.66,8.00,29.87,NO,YES,0,1,0,0,0
2019-01-08,14:00,2019-01-08 14:00,2,14,1,1,8,8,2,32,Fair,0.62,9.00,29.84,NO,YES,0,2,0,0,0
2019-01-08,15:00,2019-01-08 15:00,2,15,1,1,8,8,2,32,Fair,0.62,9.00,29.81,NO,YES,1,0,0,1,1
2019-01-08,16:00,2019-01-08 16:00,2,16,1,1,8,8,2,32,Fair,0.62,7.00,29.81,NO,NO,0,0,1,0,0
2019-01-08,17:00,2019-01-08 17:00,2,17,1,1,8,8,2,32,Fair,0.59,8.00,29.81,NO,NO,0,0,0,0,0
2019-01-08,18:00,2019-01-08 18:00,2,18,1,1,8,8,2,31,Fair,0.62,5.00,29.84,NO,NO,0,0,0,0,0
2019-01-08,19:00,2019-01-08 19:00,2,19,1,1,8,8,2,30,Fair,0.70,2.00,29.87,NO,NO,0,0,0,0,0
2019-01-08,20:00,2019-01-08 20:00,2,20,1,1,8,8,2,30,Fair,0.66,0.00,29.87,NO,NO,0,0,0,0,0
2019-01-09,7:00,2019-01-09 07:00,3,7,1,1,9,9,2,24,Fair,1.00,3.00,29.93,NO,NO,0,0,1,0,0
2019-01-09,8:00,2019-01-09 08:00,3,8,1,1,9,9,2,25,Fog,1.00,3.00,29.93,NO,NO,0,0,0,0,0
2019-01-09,9:00,2019-01-09 09:00,3,9,1,1,9,9,2,26,Partly Cloudy,0.94,3.00,29.96,NO,YES,0,0,0,0,0
