academic_calendar,day_of_week,course_id,class_start_time,class_end_time,FLOORED_class_start_time,CEILED_class_end_time,enrolled_students_amount
2018/2 semester,5,0201125,13:00,16:00,13:00,16:00,53
2018/2 semester,5,0201127,9:00,12:00,9:00,12:00,30
2018/2 semester,5,0201130,9:00,11:00,9:00,11:00,57
2018/2 semester,5,0201130,11:00,12:00,11:00,12:00,57
2018/2 semester,5,0201130,9:00,11:00,9:00,11:00,46
2018/2 semester,5,0201130,11:00,12:00,11:00,12:00,46
2018/2 semester,5,0201171,9:00,12:00,9:00,12:00,43
2018/2 semester,3,0201255,13:00,16:00,13:00,16:00,96
2018/2 semester,6,2100111,9:30,12:30,9:00,13:00,413
2018/2 semester,3,2100604,13:00,16:00,13:00,16:00,6
2018/2 semester,5,2100605,13:00,16:00,13:00,16:00,5
2018/2 semester,2,2100606,13:00,16:00,13:00,16:00,4
2018/2 semester,4,2100791,13:00,16:00,13:00,16:00,0
2018/2 semester,4,2100792,13:00,16:00,13:00,16:00,15
2018/2 semester,4,2100793,13:00,16:00,13:00,16:00,0
2018/2 semester,4,2100794,13:00,16:00,13:00,16:00,3
2018/2 semester,4,2100894,13:00,16:00,13:00,16:00,7
2018/2 semester,2,2101202,11:00,12:30,11:00,13:00,36
2018/2 semester,2,2101202,11:00,12:30,11:00,13:00,40
2018/2 semester,2,2101202,11:00,12:30,11:00,13:00,40
2018/2 semester,4,2101202,11:00,12:30,11:00,13:00,36
2018/2 semester,4,2101202,11:00,12:30,11:00,13:00,40
2018/2 semester,4,2101202,11:00,12:30,11:00,13:00,40
2018/2 semester,3,2101253,8:30,10:00,8:00,10:00,101
2018/2 semester,5,2101253,8:30,10:00,8:00,10:00,101
2018/2 semester,5,2101254,10:00,12:00,10:00,12:00,104
2018/2 semester,3,2101302,13:30,16:30,13:00,17:00,26
2018/2 semester,4,2101302,13:30,16:30,13:00,17:00,22
2018/2 semester,5,2101302,13:30,16:30,13:00,17:00,26
2018/2 semester,2,2101307,13:30,16:30,13:00,17:00,20
2018/2 semester,5,2101307,13:30,16:30,13:00,17:00,20
2018/2 semester,3,2101307,9:30,11:00,9:00,11:00,13
2018/2 semester,3,2101307,13:30,16:30,13:00,17:00,13
2018/2 semester,2,2101307,13:30,16:30,13:00,17:00,19
2018/2 semester,4,2101307,13:30,16:30,13:00,17:00,19
2018/2 semester,3,2101307,9:30,11:00,9:00,11:00,4
2018/2 semester,4,2101307,13:30,16:30,13:00,17:00,4
2018/2 semester,2,2101307,13:30,16:30,13:00,17:00,19
2018/2 semester,5,2101307,13:30,16:30,13:00,17:00,19
2018/2 semester,3,2101307,9:30,11:00,9:00,11:00,18
2018/2 semester,4,2101307,13:30,16:30,13:00,17:00,18
2018/2 semester,5,2101307,9:30,11:00,9:00,11:00,13
2018/2 semester,5,2101307,9:30,11:00,9:00,11:00,4
2018/2 semester,5,2101307,9:30,11:00,9:00,11:00,18
2018/2 semester,3,2101310,11:00,12:30,11:00,13:00,9
2018/2 semester,5,2101310,11:00,12:30,11:00,13:00,9
2018/2 semester,3,2101312,11:00,12:30,11:00,13:00,56
2018/2 semester,3,2101312,11:00,12:30,11:00,13:00,60
2018/2 semester,5,2101312,11:00,12:30,11:00,13:00,56
2018/2 semester,5,2101312,11:00,12:30,11:00,13:00,60
2018/2 semester,2,2101321,8:00,9:30,8:00,10:00,5
2018/2 semester,4,2101321,8:00,9:30,8:00,10:00,5
2018/2 semester,6,2101335,14:00,16:00,14:00,16:00,41
2018/2 semester,6,2101335,14:00,16:00,14:00,16:00,55
2018/2 semester,6,2101338,8:00,10:00,8:00,10:00,55
2018/2 semester,6,2101338,10:00,13:00,10:00,13:00,55
2018/2 semester,6,2101338,8:00,10:00,8:00,10:00,43
2018/2 semester,6,2101338,10:00,13:00,10:00,13:00,43
2018/2 semester,2,2101344,9:30,11:00,9:00,11:00,23
2018/2 semester,4,2101344,9:30,11:00,9:00,11:00,23
2018/2 semester,2,2101421,9:30,11:00,9:00,11:00,60
2018/2 semester,2,2101421,9:30,11:00,9:00,11:00,48
2018/2 semester,4,2101421,9:30,11:00,9:00,11:00,60
2018/2 semester,4,2101421,9:30,11:00,9:00,11:00,48
2018/2 semester,3,2101454,9:30,11:00,9:00,11:00,56
2018/2 semester,3,2101454,9:30,11:00,9:00,11:00,45
2018/2 semester,5,2101454,9:30,11:00,9:00,11:00,56
2018/2 semester,5,2101454,9:30,11:00,9:00,11:00,45
2018/2 semester,3,2101461,11:00,12:00,11:00,12:00,17
