date,time,timestamp,date_of_week,hour,quarter_of_year,month,day_of_year,day_of_month,week_of_year,is_lunch_break,is_class_time,is_weekday,is_Thai_holiday,is_exam_period,academic_calendar,temperature_normalized,weather_condition,humidity_normalized,wind_speed_normalized,pressure_normalized,count_1204,count_0412,count_1211
2019-01-01,7:00,2019-01-01 07:00,3,7,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-3.350045854,Fair,-10.10108621,-8.355451122,-0.389127811,0,0,0
2019-01-01,8:00,2019-01-01 08:00,3,8,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-3.350045854,Fair,-10.10108621,-7.692971013,-0.379190609,0,0,0
2019-01-01,9:00,2019-01-01 09:00,3,9,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-2.797979096,Fair,-10.11433581,-8.024211067,-0.379190609,0,0,0
2019-01-01,10:00,2019-01-01 10:00,3,10,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-2.429934591,Fair,-10.12758541,-8.355451122,-0.379190609,0,0,0
2019-01-01,11:00,2019-01-01 11:00,3,11,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.693845581,Fair,-10.15408462,-10.34289145,-0.379190609,0,0,0
2019-01-01,12:00,2019-01-01 12:00,3,12,1,1,1,1,1,YES,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.325801076,Fair,-10.15077222,-7.692971013,-0.399065012,0,0,0
2019-01-01,13:00,2019-01-01 13:00,3,13,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.141778824,Fair,-10.16402182,-7.361730958,-0.409002214,0,0,0
2019-01-01,14:00,2019-01-01 14:00,3,14,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.141778824,Fair,-10.17395902,-6.368010795,-0.418939416,0,0,0
2019-01-01,15:00,2019-01-01 15:00,3,15,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-0.773734319,Fair,-10.17395902,-7.361730958,-0.428876617,0,0,0
2019-01-01,16:00,2019-01-01 16:00,3,16,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-0.773734319,Fair,-10.17395902,-6.368010795,-0.428876617,0,0,0
2019-01-01,17:00,2019-01-01 17:00,3,17,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.141778824,Fair,-10.17395902,-7.030490904,-0.428876617,0,0,0
2019-01-01,18:00,2019-01-01 18:00,3,18,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.141778824,Fair,-10.17395902,-8.024211067,-0.418939416,0,0,0
2019-01-01,19:00,2019-01-01 19:00,3,19,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,-1.325801076,Fair,-10.15077222,-8.355451122,-0.418939416,0,0,0
