date,time,timestamp,date_of_week,hour,quarter_of_year,month,day_of_year,day_of_month,week_of_year,is_lunch_break,is_class_time,is_weekday,is_Thai_holiday,is_exam_period,academic_calendar,weather_condition,temperature_normalized,humidity_normalized,wind_speed_normalized,pressure_normalized,count_1204,count_0412,count_1211
1/1/2019,07:00,1/1/2019 07:00,3,7,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-3.350045854,0.568931682,-0.656475264,2.792733916,0,0,0
1/1/2019,08:00,1/1/2019 08:00,3,8,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-3.350045854,0.568931682,-0.117538581,3.102624762,0,0,0
1/1/2019,09:00,1/1/2019 09:00,3,9,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-2.797979096,0.290935744,-0.387006922,3.102624762,0,0,0
1/1/2019,10:00,1/1/2019 10:00,3,10,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-2.429934591,0.012939806,-0.656475264,3.102624762,0,0,0
1/1/2019,11:00,1/1/2019 11:00,3,11,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.693845581,-0.543052071,-2.273285312,3.102624762,0,0,0
1/1/2019,12:00,1/1/2019 12:00,3,12,1,1,1,1,1,YES,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.325801076,-0.473553087,-0.117538581,2.48284307,0,0,0
1/1/2019,13:00,1/1/2019 13:00,3,13,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.141778824,-0.751549025,0.151929761,2.172952224,0,0,0
1/1/2019,14:00,1/1/2019 14:00,3,14,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.141778824,-0.960045979,0.960334785,1.863061378,0,0,0
1/1/2019,15:00,1/1/2019 15:00,3,15,1,1,1,1,1,NO,YES,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-0.773734319,-0.960045979,0.151929761,1.553170533,0,0,0
1/1/2019,16:00,1/1/2019 16:00,3,16,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-0.773734319,-0.960045979,0.960334785,1.553170533,0,0,0
1/1/2019,17:00,1/1/2019 17:00,3,17,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.141778824,-0.960045979,0.421398102,1.553170533,0,0,0
1/1/2019,18:00,1/1/2019 18:00,3,18,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.141778824,-0.960045979,-0.387006922,1.863061378,0,0,0
1/1/2019,19:00,1/1/2019 19:00,3,19,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.325801076,-0.473553087,-0.656475264,1.863061378,0,0,0
1/1/2019,20:00,1/1/2019 20:00,3,20,1,1,1,1,1,NO,NO,WEEKDAY,HOLIDAY,NORMAL,HOLIDAY,Fair,-1.693845581,-0.265056133,-0.656475264,2.172952224,0,0,0
2/1/2019,07:00,2/1/2019 07:00,4,7,1,1,2,2,1,NO,NO,WEEKDAY,NORMAL,NORMAL,HOLIDAY,Fair,-2.982001349,0.290935744,0.960334785,2.172952224,0,0,1
2/1/2019,08:00,2/1/2019 08:00,4,8,1,1,2,2,1,NO,NO,WEEKDAY,NORMAL,NORMAL,HOLIDAY,Fair,-2.982001349,0.290935744,0.960334785,2.48284307,0,0,0
2/1/2019,09:00,2/1/2019 09:00,4,9,1,1,2,2,1,NO,YES,WEEKDAY,NORMAL,NORMAL,HOLIDAY,Fair,-2.797979096,0.012939806,0.960334785,2.792733916,0,0,0
2/1/2019,10:00,2/1/2019 10:00,4,10,1,1,2,2,1,NO,YES,WEEKDAY,NORMAL,NORMAL,HOLIDAY,Fair,-2.061890086,-0.265056133,-0.117538581,2.792733916,0,0,0
2/1/2019,11:00,2/1/2019 11:00,4,11,1,1,2,2,1,NO,YES,WEEKDAY,NORMAL,NORMAL,HOLIDAY,Fair,-1.693845581,-0.543052071,-0.656475264,2.792733916,0,0,0
